日期,天气,气温,风向
2018-01-01,多云,1C～-4C,东南风 微风
2018-01-02,阴转多云,8C～0C,东北风 3-4级
2018-01-03,阴转小雪,1C～-1C,东北风 4-5级转4-5级
2018-01-04,阴,0C～-4C,东北风转北风 3-4级转3-4级
2018-01-05,阴转多云,3C～-4C,西风转北风 3-4级转3-4级
2018-01-06,多云转小到中雪,3C～0C,东北风转北风 3-4级转3-4级
2018-01-07,阴转小雪,0C～-2C,东北风转北风 3-4级
2018-01-08,阴转晴,2C～-4C,西风转西北风 5-6级转5-6级
2018-01-09,晴,5C～-6C,西风转西北风 4-5级转4-5级
2018-01-10,晴,1C～-6C,西北风转北风 3-4级
2018-01-11,多云转晴,-1C～-8C,西北风转北风 3-4级转3-4级
2018-01-12,晴,1C～-8C,西南风 3-4级
2018-01-13,多云,6C～-3C,西南风转南风 3-4级
2018-01-14,多云,9C～-3C,西南风转东风 3-4级转3-4级
2018-01-15,多云转阴,9C～2C,北风转东南风 3-4级转3-4级
2018-01-16,雨夹雪转阴,4C～-1C,东北风转南风 3-4级转3-4级
2018-01-17,阴,5C～0C,北风 3-4级转3-4级
2018-01-18,晴转多云,7C～-3C,北风 3-4级转3-4级
2018-01-19,阴转多云,4C～-2C,北风转东北风 3-4级转3-4级
2018-01-20,阴,9C～-1C,西南风 3-4级转3-4级
2018-01-22,多云,7C～-4C,东北风 3-4级
2018-01-23,多云转晴,1C～-8C,东北风 3-4级转3-4级
2018-01-24,转多云,C～-5C,转东北风 转
2018-01-25,阴,-2C～-8C,东北风 3-4级
2018-01-26,晴转多云,-2C～-9C,东北风 3-4级转3-4级
2018-01-27,阴,7C～-1C,东风转东北风 4-5级转4-5级
2018-01-28,多云,1C～-8C,东北风转北风 3-4级转3-4级
2018-01-29,多云转阴,1C～-7C,西北风转西风 3-4级转3-4级
2018-01-30,多云转小雪,3C～-6C,北风转微风 3-4级转3-4级
2018-01-31,晴,3C～-5C,西北风转西风 3-4级转3-4级
2018-02-01,多云,7C～-7C,南风 3-4级转3-4级
2018-02-02,多云转晴,3C～-7C,北风 4-5级转4-5级
2018-02-03,晴转多云,2C ～ -8C,西北风 微风
2018-02-04,晴转多云,4C ～ -8C,北风 微风
2018-02-05,晴转多云,4C ～ -8C,北风 微风
2018-02-06,多云,3C ～ -6C,南风 微风
2018-02-07,晴,6C～-7C,南风转北风 3-4级
2018-02-08,晴转多云,4C～-4C,北风转南风 3-4级
2018-02-09,多云,6C～-3C,南风转北风 3-4级
2018-02-10,阴转晴,4C～-7C,东北风转西北风 3-4级
2018-02-11,多云转晴,3C～-7C,西北风 4-5级
2018-02-12,晴,6C～-5C,西风转西南风 3-4级
2018-02-13,晴转多云,11C～-1C,西南风 4-5级转4-5级
2018-02-14,阴,9C～0C,东风转东北风 3-4级转3-4级
2018-02-15,多云,5C～-2C,东风转南风 3-4级转3-4级
2018-02-16,多云,5C～-5C,西风 3-4级
2018-02-17,多云,9C～1C,北风转东风 3-4级转3-4级
2018-02-18,阴,8C～0C,东风 3-4级转3-4级
2018-02-19,阴,8C～-1C,东风转北风 3-4级转3-4级
2018-02-20,阴转雨夹雪,9C～0C,东北风 3-4级
2018-02-21,小雨转阴,6C～1C,东北风转南风 3-4级转3-4级
2018-02-22,多云转晴,12C～-1C,北风转南风 3-4级
2018-02-23,晴转多云,15C～2C,西南风转南风 3-4级
2018-02-24,多云转阴,7C～-1C,北风转东北风 4-5级转4-5级
2018-02-25,多云,11C～-1C,东南风转南风 3-4级
2018-02-26,多云,16C～4C,东南风转南风 4-5级转4-5级
2018-02-27,多云转小雨,15C～6C,东南风转南风 3-4级
2018-02-28,多云,15C～4C,北风 3-4级转3-4级
2018-03-01,多云,8C～0C,北风转东南风 4-5级转4-5级
2018-03-02,多云,13C～4C,南风 3-4级转3-4级
2018-03-03,阴转小雨,20C～7C,南风 4-5级转4-5级
2018-03-04,中雨转小雨,10C～1C,北风 4-5级
2018-03-05,多云转晴,10C～-2C,东北风转北风 3-4级
2018-03-06,多云,9C～-1C,东风 3-4级
2018-03-07,阴,6C～1C,东风转北风 3-4级
2018-03-08,阴转晴,6C～-5C,北风 4-5级转4-5级
2018-03-09,晴,10C～0C,南风 3-4级
2018-03-10,多云转晴,17C～4C,南风 3-4级转3-4级
2018-03-11,晴转多云,19C～4C,南风 3-4级
2018-03-12,雾转晴,21C～8C,南风 3-4级
2018-03-13,多云转晴,23C～12C,南风 3-4级转3-4级
2018-03-14,多云,24C～12C,南风 3-4级
2018-03-15,雾转多云,16C～0C,东北风转北风 4-5级
2018-03-16,晴,11C～-1C,东北风转东风 4-5级转4-5级
2018-03-17,阴转小雨,10C～6C,东风 3-4级
2018-03-18,阴转小雨,8C～5C,东风转北风 3-4级
2018-03-19,阴,10C～2C,东北风 3-4级转3-4级
2018-03-20,阴转雨夹雪,5C～1C,北风 4-5级转4-5级
2018-03-21,多云转晴,12C～-1C,北风 3-4级转3-4级
2018-03-22,多云,13C～2C,南风转西风 3-4级
2018-03-23,多云转雷阵雨,20C～9C,南风转东风 3-4级转3-4级
2018-03-24,阴转晴,16C～6C,东北风转北风 3-4级转3-4级
2018-03-25,晴转多云,22C～10C,南风 3-4级
2018-03-26,多云,23C～13C,南风 3-4级
2018-03-27,晴,25C～14C,南风 4-5级
2018-03-28,晴转多云,27C～13C,西南风转东北风 3-4级转3-4级
2018-03-29,多云,21C～8C,东北风 4-5级转4-5级
2018-03-30,晴,21C～8C,北风转南风 3-4级
2018-03-31,多云,23C～10C,南风 3-4级
2018-04-01,阴转多云,26C～14C,南风 3-4级
2018-04-02,多云,29C～15C,南风 4-5级转4-5级
2018-04-03,多云转阴,24C～7C,东北风 4-5级
2018-04-04,阴,15C～7C,北风 4-5级转4-5级
2018-04-05,雨夹雪转多云,7C～4C,北风转西北风 3-4级
2018-04-06,多云,14C～3C,西北风转西风 5-6级转5-6级
2018-04-07,晴,13C～6C,西北风转南风 4-5级
2018-04-08,晴,23C～7C,西南风转南风 4-5级
2018-04-09,晴转多云,25C～12C,南风 3-4级转3-4级
2018-04-10,多云,28C～13C,南风转北风 4-5级转4-5级
2018-04-11,阴转多云,25C～13C,东北风转南风 3-4级
2018-04-12,阴转小雨,18C～11C,东风 3-4级转3-4级
2018-04-13,小雨,13C～8C,东风转北风 3-4级
2018-04-14,阴转多云,17C～7C,北风 4-5级
2018-04-15,晴,20C～6C,北风 3-4级转3-4级
2018-04-16,晴,21C～9C,南风 3-4级
2018-04-17,晴,23C～10C,南风 3-4级
2018-04-18,多云转晴,25C～13C,西南风转南风 3-4级
2018-04-19,多云转晴,30C～15C,南风 3-4级
2018-04-20,多云,26C～16C,东风转东南风 3-4级
2018-04-21,多云转中到大雨,26C～15C,东南风转南风 3-4级
2018-04-22,小雨转阴,16C～12C,东北风转北风 4-5级
2018-04-23,阴转晴,16C～10C,东北风转北风 5-6级转5-6级
2018-04-24,多云转晴,22C～9C,东北风转北风 3-4级
2018-04-25,多云,23C～14C,东北风转南风 3-4级
2018-04-26,多云转阴,24C～14C,西南风转南风 3-4级转3-4级
2018-04-27,晴,27C～13C,东北风转南风 3-4级
2018-04-28,晴转多云,28C～16C,西南风转南风 3-4级
2018-04-29,阴转多云,27C～18C,南风 3-4级转3-4级
2018-04-30,多云,30C～17C,东南风转南风 3-4级
2018-05-01,阴转阵雨,21C～17C,东北风转北风 3-4级
2018-05-02,多云转晴,23C～12C,北风转西风 4-5级转4-5级
2018-05-03,晴,24C～11C,西北风转北风 4-5级转4-5级
2018-05-04,晴转多云,28C～16C,南风 4-5级转4-5级
2018-05-05,阴转阵雨,22C～16C,南风转东北风 3-4级转3-4级
2018-05-06,阴转阵雨,19C～15C,东北风转北风 3-4级转3-4级
2018-05-07,阴转多云,24C～14C,东北风转北风 3-4级转3-4级
2018-05-08,阴转晴,25C～11C,东北风 3-4级转3-4级
2018-05-09,晴,24C～13C,东南风 3-4级转3-4级
2018-05-10,阴,23C～14C,东南风 3-4级转3-4级
2018-05-11,阴转阵雨,16C～13C,东南风转南风 3-4级转3-4级
2018-05-12,多云,24C～16C,西风转南风 3-4级转3-4级
2018-05-13,晴,30C～19C,西南风转南风 3-4级
2018-05-14,阴转多云,30C～24C,西南风转南风 3-4级
2018-05-15,小雨转中雨,32C～24C,东南风转南风 3-4级
2018-05-16,阴转雷阵雨,29C～22C,西南风转南风 6-7级转6-7级
2018-05-17,阴转多云,28C～19C,西北风转北风 3-4级
2018-05-18,阴转多云,25C～17C,东北风转东风 3-4级
2018-05-19,多云转小雨,25C～16C,东南风转东风 4-5级
2018-05-20,阴转多云,17C～13C,东风 3-4级
2018-05-21,多云转小到中雨,20C～16C,东南风转东风 3-4级
2018-05-22,阴转多云,21C～12C,西北风转北风 3-4级
2018-05-23,晴转多云,27C～16C,西南风 4-5级转4-5级
2018-05-24,阴转小雨,26C～17C,西南风转南风 3-4级转3-4级
2018-05-25,阴转多云,24C～16C,东南风转东风 3-4级转3-4级
2018-05-26,多云,26C～17C,东南风转南风 3-4级转3-4级
2018-05-27,阴转多云,30C～19C,西南风转南风 3-4级
2018-05-28,多云,33C～21C,西南风转南风 3-4级转3-4级
2018-05-29,多云,30C～20C,北风转东北风 3-4级转3-4级
2018-05-30,多云,30C～18C,东北风转北风 3-4级转3-4级
2018-05-31,晴,32C～17C,北风转南风 3-4级转3-4级
2018-06-01,晴转多云,31C～19C,东南风转南风 3-4级
2018-06-02,多云,29C～18C,南风 3-4级
2018-06-03,晴转多云,30C～20C,东南风转南风 3-4级转3-4级
2018-06-04,阴转多云,28C～19C,西南风转南风 3-4级
2018-06-05,晴,34C～20C,西南风转南风 3-4级转3-4级
2018-06-06,晴,34℃～21℃,南风 3-4级转3-4级
2018-06-07,多云,33℃～22℃,西风转南风 3-4级转3-4级
2018-06-08,多云转阴,33℃～22℃,东南风转东风 3-4级
2018-06-09,阴转雷阵雨,23℃～17℃,东南风转东风 3-4级
2018-06-10,阴转多云,23℃～17℃,东北风转北风 3-4级转3-4级
2018-06-11,晴,29℃～20℃,东风转南风 3-4级转3-4级
2018-06-12,多云转晴,35℃～23℃,西南风 3-4级
2018-06-13,多云转雷阵雨,36℃～22℃,西南风转北风 4-5级转4-5级
2018-06-14,多云转晴,28℃～19℃,东北风转北风 3-4级转3-4级
2018-06-15,晴,29℃～20℃,东北风转东风 3-4级转3-4级
2018-06-16,阴,28℃～20℃,东南风 3-4级转3-4级
2018-06-17,阴转多云,29℃～21℃,东风 3-4级
2018-06-18,阴,27℃～21℃,东南风转南风 3-4级转3-4级
2018-06-19,阴转多云,26℃～20℃,南风转东北风 3-4级转3-4级
2018-06-20,多云转晴,34℃～20℃,东风转南风 3-4级转3-4级
2018-06-21,晴转多云,34℃～23℃,西南风转南风 3-4级转3-4级
2018-06-22,阴转多云,32℃～20℃,南风 3-4级转3-4级
2018-06-23,晴,32℃～20℃,南风 3-4级
2018-06-24,多云转小雨,33℃～24℃,南风转东南风 3-4级
2018-06-25,阴转小到中雨,27℃～23℃,东风转南风 <3级转<3级
2018-06-26,大雨转小雨,28℃～24℃,南风 3-4级
2018-06-27,多云转雷阵雨,34℃～25℃,西南风转南风 3-4级
2018-06-28,阴转晴,31℃～20℃,北风 3-4级转3-4级
2018-06-29,多云,32℃～22℃,东南风转东风 <3级转<3级
2018-06-30,多云转阴,32℃～23℃,东风转东北风 3-4级
2018-07-01,阴转多云,28℃～21℃,东风 3-4级
2018-07-02,阴转雷阵雨,27℃～23℃,东北风 3-4级转3-4级
2018-07-03,阴转雷阵雨,31℃～22℃,东北风转东风 3-4级转3-4级
2018-07-04,阴转阵雨,30℃～23℃,西风转东风 <3级转<3级
2018-07-05,多云,30℃～22℃,东风 3-4级
2018-07-06,阴,30℃～23℃,东风 3-4级
2018-07-07,阴转雷阵雨,29℃～22℃,东风 3-4级
2018-07-08,阴转中雨,25℃～22℃,东南风转东风 3-4级
2018-07-09,阴转中雨,23℃～21℃,东北风转北风 3-4级
2018-07-10,雷阵雨,26℃～23℃,东北风转东南风 3-4级
2018-07-11,雾转多云,31℃～24℃,东南风 3-4级
2018-07-12,阴转多云,31℃～25℃,东南风 3-4级
2018-07-13,多云转晴,35℃～26℃,南风 3-4级转3-4级
2018-07-14,多云,34℃～27℃,东南风转南风 3-4级
2018-07-15,多云转晴,35℃～26℃,南风转东南风 3-4级
2018-07-16,多云转晴,33℃～26℃,东南风转南风 3-4级转3-4级
2018-07-17,多云转晴,34℃～27℃,东南风转南风 3-4级
2018-07-18,晴,34℃～26℃,东南风 3-4级
2018-07-19,晴转多云,35℃～26℃,东南风 <3级
2018-07-20,晴,34℃～26℃,东南风 3-4级
2018-07-21,晴转多云,33℃～26℃,东南风转东风 3-4级
2018-07-22,阴转中雨,33℃～26℃,东风转东北风 3-4级转3-4级
2018-07-23,小雨转雷阵雨,25℃～25℃,东北风转南风 5-6级转5-6级
2018-07-24,阴转晴,34℃～26℃,西风转南风 3-4级转3-4级
2018-07-25,多云,36℃～27℃,南风 3-4级转3-4级
2018-07-26,阴转雷阵雨,32℃～26℃,西风转东风 3-4级
2018-07-27,阴转多云,32℃～25℃,东南风转东风 3-4级转3-4级
2018-07-28,雷阵雨转阴,32℃～26℃,南风 <3级
2018-07-29,雷阵雨,31℃～25℃,南风 <3级
2018-07-30,雷阵雨转多云,31℃～25℃,南风转东北风 <3级
2018-07-31,多云,34℃～25℃,西南风转东风 <3级
2018-08-01,多云,33℃～25℃,东北风转东南风 3-4级
2018-08-02,多云,34℃～25℃,东风 <3级
2018-08-03,多云,33℃～26℃,东南风转东风 3-4级转3-4级
2018-08-04,阴,30℃～26℃,东南风 3-4级转3-4级
2018-08-05,多云,34℃～27℃,东南风转南风 3-4级转3-4级
2018-08-06,阴转多云,34℃～27℃,南风转东南风 3-4级转3-4级
2018-08-07,阴转晴,34℃～27℃,东南风转南风 3-4级转3-4级
2018-08-08,晴转多云,36℃～27℃,西南风转南风 <3级
2018-08-09,阴转雷阵雨,35℃～27℃,西南风转东风 3-4级转3-4级
2018-08-10,阴转多云,33℃～25℃,东北风转东风 3-4级转3-4级
2018-08-11,阴转晴,33℃～25℃,东南风转东风 <3级
2018-08-12,多云转阴,32℃～27℃,东风 3-4级
2018-08-13,阴转中雨,30℃～26℃,东南风转东风 4-5级
2018-08-14,阴转雷阵雨,31℃～25℃,东南风转东风 3-4级
2018-08-15,阴转雷阵雨,31℃～25℃,西北风转南风 3-4级
2018-08-16,阴转雷阵雨,31℃～25℃,东北风转东风 3-4级
2018-08-17,阴转中雨,28℃～25℃,东北风转东风 4-5级转4-5级
2018-08-18,阴转中到大雨,27℃～24℃,东风 3-4级转3-4级
2018-08-19,中雨转暴雨,29℃～25℃,东南风转南风 4-5级
2018-08-20,小雨转多云,30℃～22℃,西北风转北风 3-4级转3-4级
2018-08-21,多云,30℃～22℃,东北风转东风 <3级
2018-08-22,阴转多云,30℃～22℃,东北风转北风 3-4级
2018-08-23,多云转晴,29℃～20℃,东北风转北风 4-5级转4-5级
2018-08-24,晴,31℃～21℃,西北风转北风 3-4级
2018-08-25,晴转多云,29℃～21℃,东北风 3-4级
2018-08-26,多云,30℃～21℃,东风 3-4级
2018-08-27,阴转小到中雨,27℃～23℃,东北风转东风 3-4级
2018-08-28,阴转雷阵雨,31℃～24℃,北风转东风 3-4级
2018-08-29,阴,32℃～25℃,东北风 3-4级
2018-08-30,阴转雷阵雨,30℃～24℃,东风转东北风 3-4级
2018-08-31,多云,27℃～21℃,东北风 3-4级
2018-09-01,多云,29℃～20℃,东北风转东风 3-4级转3-4级
2018-09-02,多云转小到中雨,29℃～23℃,南风 <3级转<3级
2018-09-03,阴转晴,32℃～21℃,西风转北风 3-4级
2018-09-04,晴,29℃～18℃,西风转西北风 3-4级转3-4级
2018-09-05,多云转阴,28℃～21℃,西风转西南风 3-4级转3-4级
2018-09-06,阴转多云,28℃～19℃,西南风转北风 4-5级转4-5级
2018-09-07,多云转晴,27℃～16℃,东北风转北风 3-4级
2018-09-08,晴,28℃～17℃,北风转东北风 3-4级转3-4级
2018-09-09,晴,27℃～17℃,东北风转东风 3-4级转3-4级
2018-09-10,阴转多云,26℃～18℃,东北风 <3级
2018-09-11,多云,28℃～19℃,东风 <3级
2018-09-12,阴转多云,27℃～19℃,北风转东风 3-4级转3-4级
2018-09-13,多云转阴,29℃～20℃,东南风转东北风 3-4级
2018-09-14,阴转小雨,23℃～20℃,东北风 3-4级
2018-09-15,阴转小雨,21℃～19℃,东北风 3-4级转3-4级
2018-09-16,阴转小雨,20℃～16℃,东北风 3-4级
2018-09-17,多云,26℃～18℃,东北风转东风 3-4级转3-4级
2018-09-18,阴转大雨,25℃～19℃,东南风转东风 3-4级转3-4级
2018-09-19,阴转小雨,21℃～19℃,东北风转北风 3-4级转3-4级
2018-09-20,阴,23℃～18℃,东北风转北风 3-4级转3-4级
2018-09-21,阴转多云,28℃～17℃,西风转北风 3-4级转3-4级
2018-09-22,阴转多云,28℃～13℃,西风转北风 3-4级转3-4级
2018-09-23,多云转晴,27℃～13℃,西风转北风 3-4级转3-4级
2018-09-24,晴转多云,25℃～15℃,北风转东北风 3-4级转3-4级
2018-09-25,多云转阴,22℃～16℃,北风转东北风 3-4级转3-4级
2018-09-26,多云转晴,23℃～14℃,东北风 3-4级转3-4级
2018-09-27,多云,24℃～16℃,北风转南风 3-4级转3-4级
2018-09-28,阴转晴,25℃～13℃,西风转西北风 3-4级转3-4级
2018-09-29,多云转晴,28℃～15℃,西风转北风 3-4级
2018-09-30,晴,23℃～12℃,西风转北风 4-5级
2018-10-01,晴,24℃～11℃,西北风 3-4级转3-4级
2018-10-02,多云转晴,26℃～12℃,西风转北风 3-4级转3-4级
2018-10-03,晴,26℃～13℃,西南风转东风 3-4级转3-4级
2018-10-04,晴,26℃～14℃,北风 3-4级转3-4级
2018-10-05,晴,25℃～14℃,东北风转北风 3-4级
2018-10-06,多云转晴,27℃～14℃,西北风转东北风 3-4级
2018-10-07,多云,21℃～14℃,东北风转南风 <3级
2018-10-08,阴转小雨,22℃～15℃,东北风转南风 3-4级转3-4级
2018-10-09,中雨转多云,19℃～6℃,东北风转北风 3-4级
2018-10-10,晴,18℃～7℃,北风 3-4级
2018-10-11,晴,19℃～7℃,北风 3-4级转3-4级
2018-10-12,晴,16℃～9℃,北风转南风 3-4级转3-4级
2018-10-13,多云,20℃～11℃,东南风 3-4级转3-4级
2018-10-14,阴转多云,19℃～10℃,北风转南风 3-4级转3-4级
2018-10-15,阴转多云,21℃～13℃,北风转南风 3-4级转3-4级
2018-10-16,多云转阵雨,22℃～12℃,西风转东北风 3-4级
2018-10-17,多云转晴,18℃～7℃,东北风 4-5级转4-5级
2018-10-18,晴,17℃～7℃,东北风 3-4级转3-4级
2018-10-19,晴转多云,18℃～8℃,东南风转北风 3-4级转3-4级
2018-10-20,阴转多云,17℃～9℃,北风转东风 3-4级转3-4级
2018-10-21,阴转多云,19℃～12℃,北风转南风 3-4级转3-4级
2018-10-22,多云,21℃～12℃,西南风转南风 3-4级
2018-10-23,晴转多云,20℃～10℃,东北风转南风 3-4级转3-4级
2018-10-24,多云,22℃～11℃,西南风转南风 3-4级转3-4级
2018-10-25,阴转小雨,19℃～10℃,南风 3-4级
2018-10-26,多云转晴,18℃～5℃,西风转西北风 4-5级转4-5级
2018-10-27,晴,18℃～9℃,西风 4-5级转4-5级
2018-10-28,晴,22℃～7℃,西风转北风 4-5级转4-5级
2018-10-29,晴,18℃～7℃,东北风转北风 3-4级转3-4级
2018-10-30,晴,18℃～6℃,东南风转东北风 <3级
2018-10-31,晴,17℃～7℃,东北风转南风 3-4级转3-4级
2018-11-01,晴,19℃～7℃,西风转东风 3-4级转3-4级
2018-11-02,多云转晴,18℃～7℃,西南风转东风 3-4级转3-4级
2018-11-03,晴转多云,17℃～8℃,北风转东风 3-4级转3-4级
2018-11-04,阴转小雨,18℃～13℃,北风 <3级
2018-11-05,阴转小到中雨,12℃～7℃,北风转东北风 <3级转<3级
2018-11-06,阴转小雨,8℃～7℃,北风转东北风 <3级转<3级
2018-11-07,阴转小到中雨,10℃～7℃,东北风转北风 3-4级转3-4级
2018-11-08,中雨转多云,8℃～5℃,西风转南风 3-4级转3-4级
2018-11-09,雾转晴,15℃～6℃,西南风转南风 3-4级转3-4级
2018-11-10,多云转小雨,16℃～9℃,北风 3-4级转3-4级
2018-11-11,阴转多云,15℃～7℃,东北风转北风 3-4级转3-4级
2018-11-12,阴转多云,14℃～8℃,东北风转东风 3-4级转3-4级
2018-11-13,多云,15℃～6℃,西南风转东风 <3级
2018-11-14,多云,15℃～9℃,北风转东风 3-4级转3-4级
2018-11-15,阴,15℃～7℃,北风 3-4级
2018-11-16,阴转多云,10℃～3℃,东北风转北风 4-5级转4-5级
2018-11-17,阴,7℃～5℃,东北风转南风 <3级
2018-11-18,阴转晴,11℃～2℃,西风转北风 3-4级转3-4级
2018-11-19,晴,13℃～2℃,西南风转南风 3-4级转3-4级
2018-11-20,雾转阴,10℃～4℃,西风转北风 3-4级转3-4级
2018-11-21,阴转晴,11℃～0℃,东北风转北风 4-5级转4-5级
2018-11-22,晴转多云,11℃～2℃,西南风转南风 3-4级转3-4级
2018-11-23,晴转多云,13℃～4℃,南风 3-4级转3-4级
2018-11-24,多云,13℃～6℃,北风转南风 3-4级转3-4级
2018-11-25,阴转多云,13℃～6℃,南风 <3级
2018-11-26,多云,15℃～5℃,西南风转南风 3-4级转3-4级
2018-11-27,多云,14℃～7℃,东北风 3-4级转3-4级
2018-11-28,扬沙转多云,14℃～8℃,东北风转北风 3-4级转3-4级
2018-11-29,多云,12℃～7℃,东北风 3-4级转3-4级
2018-11-30,晴转多云,13℃～8℃,北风转东风 3-4级转3-4级
2018-12-01,阴转小雨,13℃～10℃,东北风转东南风 3-4级转3-4级
2018-12-02,小雨转阴,14℃～8℃,南风转北风 3-4级转3-4级
2018-12-03,阴转小雨,13℃～4℃,东北风转北风 4-5级转4-5级
2018-12-04,多云,7℃～1℃,东北风转北风 3-4级
2018-12-05,阴转小雪,2℃～2℃,东北风转北风 3-4级
2018-12-06,大雪转多云,4℃～-5℃,西北风转北风 3-4级
2018-12-07,阴转晴,0℃～-7℃,北风 3-4级转3-4级
2018-12-08,多云,-1℃～-7℃,西北风转北风 3-4级转3-4级
2018-12-09,多云转阴,-1℃～-5℃,北风 3-4级转3-4级
2018-12-10,阴转中到大雪,2℃～-3℃,东北风转北风 3-4级
2018-12-11,小雪转晴,1℃～-8℃,西北风转北风 3-4级转3-4级
2018-12-12,晴,2℃～-6℃,西北风转西南风 3-4级转3-4级
2018-12-13,晴,4℃～-4℃,西北风转北风 3-4级转3-4级
2018-12-14,晴,4℃～-3℃,北风转东风 3-4级转3-4级
2018-12-15,多云,3℃～-2℃,东北风转南风 <3级
2018-12-16,多云转晴,9℃～-3℃,西风 3-4级转3-4级
2018-12-17,多云转晴,10℃～-1℃,西北风转南风 3-4级转3-4级
2018-12-18,多云,13℃～1℃,西风转北风 3-4级转3-4级
2018-12-19,阴转多云,9℃～2℃,北风转东北风 3-4级转3-4级
2018-12-20,多云,10℃～4℃,东北风转南风 3-4级转3-4级
2018-12-21,雾转阴,11℃～4℃,北风转东北风 3-4级转3-4级
2018-12-22,阴,7℃～0℃,东北风转北风 3-4级
2018-12-23,晴,6℃～-3℃,东北风转北风 4-5级转4-5级
2018-12-24,多云,6℃～1℃,东北风转南风 3-4级
2018-12-25,阴,7℃～0℃,北风 3-4级
2018-12-26,多云,1℃～-4℃,东北风转北风 4-5级转4-5级
2018-12-27,多云,-1℃～-7℃,东北风转北风 3-4级转3-4级
2018-12-28,晴,-2℃～-9℃,西北风转北风 3-4级转3-4级
2018-12-29,晴转多云,0℃～-7℃,西北风转北风 3-4级转3-4级
2018-12-30,多云,0℃～-6℃,东北风转北风 3-4级转3-4级
2018-12-31,多云转晴,0℃～-7℃,北风 3-4级转3-4级
2019-01-01,多云,2℃～-5℃,西北风转北风 3-4级转3-4级
2019-01-02,多云转晴,3℃～-4℃,北风转南风 3-4级转3-4级
